"genename","uniprot","mean_ctrl","mean_patient","mito","complex"
"A2M","P01023",1218337.8,5018490,"nonmito",""
"AAAS","Q9NRG9",64092,71765.4333333333,"nonmito",""
"AACS","Q86V21",67170.62,84027.1,"nonmito",""
"AAGAB","Q6PD74",102035.9,113855.733333333,"nonmito",""
"AAK1","Q2M2I8",107611.26,76826.0666666667,"nonmito",""
"AAMDC","Q9H7C9",77654.76,62693.5333333333,"nonmito",""
"AAMP","Q13685",60659.08,52495.0333333333,"nonmito",""
"AAR2","Q9Y312",37725.34,37105.6333333333,"nonmito",""
"AARS1","P49588",203694.6,275201,"nonmito",""
"AARS2","Q5JTZ9",39915.94,31841.3333333333,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",113986.8,117699.333333333,"nonmito",""
"AASDHPPT","Q9NRN7",130619.4,90650.6666666667,"nonmito",""
"AASS","Q9UDR5",61167.0666666667,47971.0333333333,"mito",""
"ABCB10","Q9NRK6",60535.58,54447.7333333333,"mito",""
"ABCB6","Q9NP58;Q9NP58-4",47727.76,74516.6666666667,"mito",""
"ABCB7","O75027;O75027-2",64735.56,69556.7,"mito",""
"ABCC1","P33527;P33527-9",70074.18,79230.3666666667,"nonmito",""
"ABCC4","O15439;O15439-2",64388.06,52125,"nonmito",""
"ABCD1","P33897",68861.78,60769.2666666667,"mito",""
"ABCD3","P28288",71937.16,70336.1666666667,"mito",""
"ABCE1","P61221",206159.8,234077.666666667,"nonmito",""
"ABCF1","Q8NE71",104476,114432.333333333,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",97546.08,98098.2333333333,"nonmito",""
"ABCF3","Q9NUQ8;Q9NUQ8-2",117652,104890,"nonmito",""
"ABHD10","Q9NUJ1",59746.78,81452.7666666667,"mito",""
"ABHD11","Q8NFV4",59850.58,26553.05,"mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",96363.52,70861.8333333333,"nonmito",""
"ABHD14B","Q96IU4",201462.6,231769.666666667,"nonmito",""
"ABHD16A","O95870",59554.38,52730.7,"nonmito",""
"ABHD4","Q8TB40",21924.2,20050.3666666667,"nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",77749.82,61501.9666666667,"nonmito",""
"ABI2","Q9NYB9;Q9NYB9-2;Q9NYB9-4",74784.9,66694.55,"nonmito",""
"ABLIM3","O94929-2;O94929-3",58248.16,24938.9666666667,"nonmito",""
"ABR","Q12979;Q12979-2;Q12979-4",86052.92,94091.3,"nonmito",""
"ABRACL","Q9P1F3",155860.86,116378.033333333,"nonmito",""
"ABRAXAS2","Q15018",51696.08,70998.4,"nonmito",""
"ABT1","Q9ULW3",98987.46,140875,"nonmito",""
"ACAA1","P09110",72276.92,85672.5,"mito",""
"ACAA2","P42765",113433.9,144936.666666667,"mito",""
"ACACA","Q13085;Q13085-4",78875.72,84089.9666666667,"mito",""
"ACAD11","Q709F0",58750.2,130260,"mito",""
"ACAD8","Q9UKU7",25658.65,51090.8,"mito",""
"ACAD9","Q9H845",76072.6,98214.2666666667,"mito",""
"ACADM","P11310;P11310-2",127015.18,151732,"mito",""
"ACADS","P16219",91996.5,101628.733333333,"mito",""
"ACADSB","P45954",36606.4,43977.2,"mito",""
"ACADVL","P49748;P49748-3",243633.8,222969,"mito",""
"ACAP2","Q15057",61446.84,52880.1,"nonmito",""
"ACAT1","P24752",228179.2,243946.666666667,"mito",""
"ACAT2","Q9BWD1;Q9BWD1-2",195630.2,152637.666666667,"nonmito",""
"ACBD3","Q9H3P7",138182.4,154078.666666667,"nonmito",""
"ACBD5","Q5T8D3-2;Q5T8D3-3",40817.88,47678.8333333333,"nonmito",""
"ACBD6","Q9BR61",31575.38,35658.8,"nonmito",""
"ACIN1","Q9UKV3",65330.86,57586.5,"nonmito",""
"ACLY","P53396",358907.6,282524.333333333,"mito",""
"ACO1","P21399",156953.8,156382,"nonmito",""
"ACO2","Q99798",129571.4,108160.666666667,"mito",""
"ACOT1","Q86TX2",134197,160437.333333333,"nonmito",""
"ACOT13","Q9NPJ3;Q9NPJ3-2",98753.1,87629.6,"mito",""
"ACOT7","O00154;O00154-4;O00154-6;O00154-7",239025.4,219411.333333333,"mito",""
"ACOT8","O14734",133075.5,101499.9,"nonmito",""
"ACOT9","Q9Y305;Q9Y305-2;Q9Y305-4",151426.2,156996,"mito",""
"ACOX1","Q15067;Q15067-2",77450.06,87270.6,"nonmito",""
"ACOX2","Q99424",48346.92,59682.4666666667,"nonmito",""
"ACOX3","O15254",46630.88,56087.8666666667,"nonmito",""
"ACP1","P24666",169454.2,211081,"nonmito",""
"ACP2","P11117",140170.6,107469.166666667,"nonmito",""
"ACSF2","Q96CM8;Q96CM8-2;Q96CM8-3",25777.92,23237.9,"mito",""
"ACSF3","Q4G176",35140.34,39759,"mito",""
"ACSL1","P33121",73890.36,70508.7666666667,"mito",""
"ACSL3","O95573",164806,177932.666666667,"nonmito",""
