"genename","uniprot","mean_ctrl","mean_patient","mito","complex"
"NUMBL","Q9Y6R0",85377.9570325,66813.8268233333,"nonmito",""
"NUP107","P57740",101066.5351725,106741.427066667,"nonmito",""
"NUP133","Q8WUM0",79682.914065,82913.3828166667,"nonmito",""
"NUP153","P49790",74916.001955,61072.0195333333,"nonmito",""
"NUP155","O75694;O75694-2",200674.187525,224257.906266667,"nonmito",""
"NUP160","Q12769",89122.7382825,105012.893266667,"nonmito",""
"NUP188","Q5SRE5",59121.6132825,70242.59896,"nonmito",""
"NUP205","Q92621",84604.1816425,95518.34375,"nonmito",""
"NUP214","P35658;P35658-2",87915.0625025,84361.00521,"nonmito",""
"NUP35","Q8NFH5;Q8NFH5-2",97942.2968725,92667.59896,"nonmito",""
"NUP37","Q8NFH4",139936.019525,134816.8281,"nonmito",""
"NUP43","Q8NFH3",126601.289075,135358.455733333,"nonmito",""
"NUP50","Q9UKX7;Q9UKX7-2",114388.150385,95792.4140633333,"nonmito",""
"NUP54","Q7Z3B4;Q7Z3B4-3",152754.07035,139901.6094,"nonmito",""
"NUP58","Q9BVL2;Q9BVL2-2;Q9BVL2-3",76293.8789075,83690.7526033333,"nonmito",""
"NUP62","P37198",209223.222675,214716.4219,"nonmito",""
"NUP85","Q9BW27",78422.339845,88703.3802066667,"nonmito",""
"NUP88","Q99567",95975.2734375,103772.450513333,"nonmito",""
"NUP93","Q8N1F7",155495.28515,165140.000033333,"nonmito",""
"NUP98","P52948;P52948-5",115369.107425,121670.736966667,"nonmito",""
"NUTF2","P61970",644521.15625,791747.0625,"nonmito",""
"NVL","O15381;O15381-2;O15381-3;O15381-5",18396.0500525,25404.4531266667,"nonmito",""
"NXF1","Q9UBU9",92067.16211,91487.5598966667,"nonmito",""
"NXN","Q6DKJ4",268076.7266,225569.2344,"nonmito",""
"NXT1","Q9UKK6",55521.42676,113085.4297,"nonmito",""
